ID,Nama,Pengalaman_Kerja_Tahun,Usia,Jenis_Kelamin,Gaji_Per_Bulan_Rp
1,Ayu Lestari,5,28,Perempuan,7050000
2,Yusuf Maulana,1,21,Laki-laki,4350000
3,Wulan Sari,3,23,Perempuan,5800000
4,Eko Prasetyo,2,22,Laki-laki,5350000
5,Panji Anggara,1,17,Laki-laki,4250000
6,Dedi Kurniawan,25,62,Laki-laki,22000000
7,Putri Ayu,19,54,Perempuan,18200000
8,Lestari Ningsih,2,21,Perempuan,5200000
9,Indah Permata,10,36,Perempuan,11250000
10,Wiwik Setyowati,15,54,Perempuan,14600000
11,Dewi Lestari,4,26,Perempuan,6600000
12,Joko Susilo,6,29,Laki-laki,7800000
13,Oki Setiawan,14,39,Laki-laki,14300000
14,Rian Hidayat,11,40,Laki-laki,11750000
15,Wahyu Nugraha,2,23,Laki-laki,5350000
16,Maya Kusuma,4,27,Perempuan,6850000
17,Ratna Sari,10,34,Perempuan,11100000
18,Rahayu Ningsih,15,54,Perempuan,15050000
19,Fajar Nugroho,2,21,Laki-laki,4900000
20,Nanda Firmansyah,10,36,Laki-laki,11450000
21,Taufik Ismail,15,54,Laki-laki,14500000
22,Kurniawan Putra,4,26,Laki-laki,6250000
23,Agus Wijaya,5,29,Laki-laki,7650000
24,Rina Marlina,1,21,Perempuan,4200000
25,Siti Aisyah,4,23,Perempuan,6500000
26,Sri Wahyuni,3,22,Perempuan,5550000
27,Muhammad Fauzi,1,18,Laki-laki,4200000
28,Yuli Astuti,27,62,Perempuan,23550000
29,Dian Puspita,19,54,Perempuan,17850000
30,Nurul Hidayah,2,21,Perempuan,5000000
31,Andi Pratama,10,34,Laki-laki,11200000
32,Surya Darmawan,15,54,Laki-laki,15100000
33,Novita Anggraini,20,55,Perempuan,18600000
34,Devi Anjani,19,53,Perempuan,17600000
35,Hendra Saputra,16,49,Laki-laki,15600000
